SubmissionDate,Province,District,Village,Site_Visit_ID,KEY,Tool,Interview_Type,HF_Type,ID,Surveyor_Id
2025-10-30T15:02:35.771Z,Paktika,Zarghoon Shahr,,HER-PKA-HF1630-Q2-2025-1189-01,uuid:82c0844a-1ffb-4e0d-8120-27152ab200e2,HER_Re_QQC_R3,3,BHC,,FR3691
2025-11-03T13:29:30.244Z,Paktya,Ahmadaba,,HER-PAK-HF2192-Q2-2025-1200-01,uuid:f63eb0ec-9646-4c8f-87c8-83dea4f8ef53,HER_Re_QQC_R3,6,BHC,,FR3900
2025-11-03T13:52:10.144Z,Paktya,Ahmadaba,,HER-PAK-HF2192-Q2-2025-1200-01,uuid:7b6509cd-e51c-40b6-9139-1ddbfe59d81c,HER_Re_QQC_R3,9,BHC,,FR3900
2025-11-03T14:01:48.063Z,Paktya,Ahmadaba,,HER-PAK-HF2192-Q2-2025-1200-01,uuid:4d32c8fd-c248-4e4e-beb0-bc1377fee39a,HER_Re_QQC_R3,7,BHC,,FR3900
2025-11-03T15:15:54.941Z,Paktya,Ahmadaba,,HER-PAK-HF2192-Q2-2025-1200-01,uuid:714f84e9-44d4-4f1a-8df2-906b5676c52e,HER_Re_QQC_R3,4,BHC,,FR4031
2025-11-04T04:16:42.867Z,Paktya,Ahmadaba,,HER-PAK-HF2192-Q2-2025-1200-01,uuid:a4c1af74-2c55-4c24-a862-97c8a7068758,HER_Re_QQC_R3,3,BHC,,FR3900
2025-11-03T07:11:31.195Z,Logar,Pul-e-Alam,,HER-LGR-HF3807-Q2-2025-1167-01,uuid:df05ca7e-d15c-4743-9721-99d878d30b85,HER_Re_QQC_R3,4,BHC,,FR3681
2025-11-03T09:35:19.852Z,Paktya,Ahmadaba,,HER-PAK-HF2192-Q2-2025-1200-01,uuid:f849237e-eed0-4851-877c-3a5333faf4bb,HER_Re_QQC_R3,10,BHC,,FR4031
2025-11-03T07:14:32.805Z,Logar,Pul-e-Alam,,HER-LGR-HF3807-Q2-2025-1167-01,uuid:9fccda39-075e-496a-899e-729823c07e38,HER_Re_QQC_R3,10,BHC,,FR3681
2025-11-01T11:50:07.186Z,Paktika,Zarghoon Shahr,,HER-PKA-HF1630-Q2-2025-1189-01,uuid:0485f715-16e8-4fd8-8378-5dcc6fef81b1,HER_Re_QQC_R3,8,BHC,,FR2761
2025-11-03T07:10:42.452Z,Logar,Pul-e-Alam,,HER-LGR-HF3807-Q2-2025-1167-01,uuid:6eab9d0b-cea6-4cf9-91b3-af4d8edc05ed,HER_Re_QQC_R3,9,BHC,,FR3681
2025-11-03T14:51:46.352Z,Paktya,Ahmadaba,,HER-PAK-HF2192-Q2-2025-1200-01,uuid:b6c4a6cf-64e5-4ed6-af6f-dd6c3d1330aa,HER_Re_QQC_R3,8,BHC,,FR4031
2025-11-07T09:07:55.155Z,Logar,Baraki Barak,,HER-LGR-HF234-Q2-2025-1164-01,uuid:33a8d6d8-9662-4365-a496-426073524082,HER_Re_QQC_R3,8,BHC,,FR3681
2025-11-07T09:09:04.268Z,Logar,Baraki Barak,,HER-LGR-HF234-Q2-2025-1164-01,uuid:12c17e1a-3b75-4607-8ea3-4ac56aae53af,HER_Re_QQC_R3,4,BHC,,FR3681
2025-11-07T09:10:02.626Z,Logar,Baraki Barak,,HER-LGR-HF234-Q2-2025-1164-01,uuid:790b296c-1c73-4303-b7e9-05be7fe28c33,HER_Re_QQC_R3,2,BHC,,FR3681
2025-11-08T12:12:19.066Z,Paktya,Gardez,,HER-PAK-HF2028-Q2-2025-1192-01,uuid:1bae4c2c-7f05-4225-aceb-4493491d9f88,HER_Re_QQC_R3,4,BHC,,FR4031
2025-11-08T12:42:04.046Z,Kapisa,His-e-Awal-e-Kohestan,,HER-KPS-HF1960-Q2-2025-1112-01,uuid:7deda74e-ca04-4b6d-bfab-c9f12be64aef,HER_Re_QQC_R3,2,BHC,,FR1695
2025-11-08T12:47:21.095Z,Paktya,Gardez,,HER-PAK-HF2028-Q2-2025-1192-01,uuid:72695de9-e4c0-4ad5-b0ab-88d4902ec28d,HER_Re_QQC_R3,8,BHC,,FR4031
2025-11-08T12:50:45.125Z,Paktya,Gardez,,HER-PAK-HF2028-Q2-2025-1192-01,uuid:1eafdda0-5601-487a-84d8-116b6df9b869,HER_Re_QQC_R3,9,BHC,,FR3900
2025-11-08T12:53:14.114Z,Kapisa,His-e-Awal-e-Kohestan,,HER-KPS-HF1960-Q2-2025-1112-01,uuid:11a5bd81-a1b0-404b-bf60-2d8c5bb02a0b,HER_Re_QQC_R3,5,BHC,,FR4005
2025-11-08T13:28:06.405Z,Kapisa,His-e-Awal-e-Kohestan,,HER-KPS-HF1960-Q2-2025-1112-01,uuid:7f51a108-0947-4abf-a20b-f6e138f3eaf2,HER_Re_QQC_R3,9,BHC,,FR1695
2025-11-08T13:35:29.294Z,Kapisa,His-e-Awal-e-Kohestan,,HER-KPS-HF1960-Q2-2025-1112-01,uuid:e34c4d2f-60fb-41c0-adaa-f925ad4b63a6,HER_Re_QQC_R3,7,BHC,,FR4005
2025-11-01T12:34:46.583Z,Paktika,Zarghoon Shahr,,HER-PKA-HF1630-Q2-2025-1189-01,uuid:19120a8c-9554-4663-853b-3f55e71f1abe,HER_Re_QQC_R3,6,BHC,,FR3691
2025-11-08T18:50:15.762Z,Logar,Baraki Barak,,HER-LGR-HF234-Q2-2025-1164-01,uuid:7f867310-a8cd-4998-b41b-821622cd2310,HER_Re_QQC_R3,9,BHC,,FR3681
2025-11-08T18:51:26.280Z,Logar,Baraki Barak,,HER-LGR-HF234-Q2-2025-1164-01,uuid:6a74eeb9-1a9e-417d-b51f-13780cf96417,HER_Re_QQC_R3,10,BHC,,FR3681
2025-11-09T01:18:30.036Z,Logar,Baraki Barak,,HER-LGR-HF234-Q2-2025-1164-01,uuid:b88ec1ec-1ae6-4bb8-89d7-b326c3a47593,HER_Re_QQC_R3,3,BHC,,FR4019
2025-11-09T01:18:51.603Z,Logar,Baraki Barak,,HER-LGR-HF234-Q2-2025-1164-01,uuid:2ebab1d6-295b-45c3-87fe-b975375d729a,HER_Re_QQC_R3,1,BHC,,FR4019
2025-11-09T01:19:09.647Z,Logar,Baraki Barak,,HER-LGR-HF234-Q2-2025-1164-01,uuid:f7e268ff-6b10-4c03-8900-17f684983bea,HER_Re_QQC_R3,5,BHC,,FR4019
2025-11-09T01:19:17.329Z,Logar,Baraki Barak,,HER-LGR-HF234-Q2-2025-1164-01,uuid:9a6722f1-e29c-4901-98c3-20a8618e2439,HER_Re_QQC_R3,6,BHC,,FR4019
2025-11-09T01:19:28.263Z,Logar,Baraki Barak,,HER-LGR-HF234-Q2-2025-1164-01,uuid:8747a734-ef32-46e9-a95b-7ec26df53945,HER_Re_QQC_R3,7,BHC,,FR4019
2025-11-09T03:43:20.934Z,Paktya,Gardez,,HER-PAK-HF2028-Q2-2025-1192-01,uuid:599ee6a3-a707-4f84-bf88-e9ac39733090,HER_Re_QQC_R3,3,BHC,,FR3900
2025-11-08T12:26:22.951Z,Kapisa,His-e-Awal-e-Kohestan,,HER-KPS-HF1960-Q2-2025-1112-01,uuid:f56c6b96-255e-4047-a499-14705a191095,HER_Re_QQC_R3,11,BHC,,FR4005
2025-11-08T12:42:42.515Z,Kapisa,His-e-Awal-e-Kohestan,,HER-KPS-HF1960-Q2-2025-1112-01,uuid:53e01727-45a8-438b-98c0-7deafb8039d9,HER_Re_QQC_R3,1,BHC,,FR4005
2025-11-09T07:03:01.383Z,Nooristan,Paroon,,HER-NUR-HF2079-Q2-2025-1173-01,uuid:e7935e78-197b-4066-9140-8a6eb67aec83,HER_Re_QQC_R3,2,CHC,,FR4026
2025-11-09T07:04:44.265Z,Nooristan,Paroon,,HER-NUR-HF2079-Q2-2025-1173-01,uuid:882471b1-bba5-4913-bef8-5201ebda5edb,HER_Re_QQC_R3,11,CHC,,FR4026
2025-11-09T07:05:11.160Z,Nooristan,Paroon,,HER-NUR-HF2079-Q2-2025-1173-01,uuid:7a837c3c-062e-478c-9963-aebcf38b8319,HER_Re_QQC_R3,3,CHC,,FR4026
2025-11-04T10:24:33.239Z,Paktika,Zarghoon Shahr,,HER-PKA-HF1630-Q2-2025-1189-01,uuid:94e95481-f57a-44c9-92e1-0288db29004f,HER_Re_QQC_R3,4,BHC,,FR2761
2025-11-09T08:29:26.063Z,Parwan,Chaharekar,,HER-PAR-HF62-Q2-2025-1212-01,uuid:d06ea361-6def-4df2-a01c-71d6635b6fdf,HER_Re_QQC_R3,2,CHC,,FR3277
2025-11-09T08:31:12.261Z,Parwan,Chaharekar,,HER-PAR-HF62-Q2-2025-1212-01,uuid:e1071581-e2bd-4b94-a11c-c5b679d0e855,HER_Re_QQC_R3,4,CHC,,FR3277
2025-11-09T08:34:46.643Z,Parwan,Chaharekar,,HER-PAR-HF62-Q2-2025-1212-01,uuid:84ec1753-15c4-41aa-871c-41480b00c014,HER_Re_QQC_R3,6,CHC,,FR3277
2025-11-09T08:50:48.259Z,Parwan,Chaharekar,,HER-PAR-HF62-Q2-2025-1212-01,uuid:08bdf11e-c967-4c75-98dc-0f7053c1caa9,HER_Re_QQC_R3,9,CHC,,FR3277
2025-11-09T09:18:56.572Z,Parwan,Chaharekar,,HER-PAR-HF62-Q2-2025-1212-01,uuid:4aba0bf1-d27e-49b5-a597-290e9091fb8d,HER_Re_QQC_R3,10,CHC,,FR3277
2025-11-09T10:37:59.234Z,Paktya,Gardez,,HER-PAK-HF2028-Q2-2025-1192-01,uuid:b4c09203-ab3f-4db2-a191-bdf2ab1e183d,HER_Re_QQC_R3,7,BHC,,FR3900
2025-11-09T10:39:10.049Z,Paktya,Gardez,,HER-PAK-HF2028-Q2-2025-1192-01,uuid:f0a2a7c9-88bd-4386-bade-941b37e4f64c,HER_Re_QQC_R3,5,BHC,,FR3900
2025-11-09T10:39:59.330Z,Paktya,Gardez,,HER-PAK-HF2028-Q2-2025-1192-01,uuid:c6469556-39c0-40aa-b28f-58cf2eb2c322,HER_Re_QQC_R3,11,BHC,,FR3900
2025-11-09T10:44:49.036Z,Paktya,Gardez,,HER-PAK-HF2028-Q2-2025-1192-01,uuid:853e2ce4-6c6e-434c-802a-b2fa03eb4070,HER_Re_QQC_R3,1,BHC,,FR3900
2025-11-09T10:46:20.648Z,Paktya,Gardez,,HER-PAK-HF2028-Q2-2025-1192-01,uuid:45f25255-29a4-4bf2-ac15-ca56ecfe1565,HER_Re_QQC_R3,6,BHC,,FR3900
2025-11-09T11:53:36.529Z,Khost,Khost (Matoon),,HER-KHO-HF1959-Q2-2025-1124-01,uuid:2f2a0036-9abc-45ee-bf64-bd633d8d570b,HER_Re_QQC_R3,1,BHC,,FR4008
2025-11-09T11:55:44.789Z,Khost,Khost (Matoon),,HER-KHO-HF1959-Q2-2025-1124-01,uuid:67b9d26f-ffd8-452d-8061-17f22456bd62,HER_Re_QQC_R3,11,BHC,,FR4008
2025-11-09T11:58:50.819Z,Khost,Khost (Matoon),,HER-KHO-HF1959-Q2-2025-1124-01,uuid:3c50df25-80f8-46c0-96fe-6870bc5b7a6a,HER_Re_QQC_R3,3,BHC,,FR4008
2025-11-09T11:58:55.678Z,Khost,Khost (Matoon),,HER-KHO-HF1959-Q2-2025-1124-01,uuid:3a3b723b-2a05-4b98-9499-b016af73ffc6,HER_Re_QQC_R3,5,BHC,,FR4008
2025-11-09T11:59:49.619Z,Khost,Khost (Matoon),,HER-KHO-HF1959-Q2-2025-1124-01,uuid:d873ae1c-797e-4fe6-89db-b70eed54cca7,HER_Re_QQC_R3,6,BHC,,FR4008
2025-11-09T12:01:57.818Z,Khost,Khost (Matoon),,HER-KHO-HF1959-Q2-2025-1124-01,uuid:40f1086b-771a-468f-a10c-58ee6705537e,HER_Re_QQC_R3,7,BHC,,FR4008
2025-11-09T12:22:09.361Z,Parwan,Chaharekar,,HER-PAR-HF62-Q2-2025-1212-01,uuid:bf5f0f18-83e5-4b53-ab9a-6a1540cea089,HER_Re_QQC_R3,3,CHC,,FR2044
2025-11-09T12:23:11.933Z,Parwan,Chaharekar,,HER-PAR-HF62-Q2-2025-1212-01,uuid:a3624fb2-3b78-4e6c-b4a8-fb28db822174,HER_Re_QQC_R3,5,CHC,,FR2044
2025-11-09T12:35:03.348Z,Kapisa,Nijrab,,HER-KPS-HF1965-Q2-2025-1114-01,uuid:4d8d2eb0-99e1-43f6-9ff5-77e3891e7e97,HER_Re_QQC_R3,10,BHC,,FR1695
2025-11-09T12:36:35.521Z,Kapisa,Nijrab,,HER-KPS-HF1965-Q2-2025-1114-01,uuid:338a78e1-7722-4c2c-b21d-b1eabcadd435,HER_Re_QQC_R3,4,BHC,,FR1695
2025-11-09T12:38:29.808Z,Kapisa,Nijrab,,HER-KPS-HF1965-Q2-2025-1114-01,uuid:dfb640c8-8117-4534-9b2a-82db72990f98,HER_Re_QQC_R3,1,BHC,,FR4005
2025-11-09T12:40:01.688Z,Kapisa,Nijrab,,HER-KPS-HF1965-Q2-2025-1114-01,uuid:e2cdc1cd-faa8-4c0f-9cce-dcb17711faa7,HER_Re_QQC_R3,11,BHC,,FR4005
2025-11-09T12:40:46.135Z,Kapisa,Nijrab,,HER-KPS-HF1965-Q2-2025-1114-01,uuid:febaa2f6-f73c-4739-8cf5-a61464bd1404,HER_Re_QQC_R3,8,BHC,,FR1695
2025-11-09T12:58:49.562Z,Laghman,Qarghayi,,HER-LGM-HF364-Q2-2025-1152-01,uuid:0def25ad-a9b9-469f-a4af-10e1fcca2295,HER_Re_QQC_R3,7,CHC,,FR4015
2025-11-09T13:00:41.634Z,Laghman,Qarghayi,,HER-LGM-HF364-Q2-2025-1152-01,uuid:8ad59600-a1a2-4054-8760-e78de23c02aa,HER_Re_QQC_R3,6,CHC,,FR4015
2025-11-09T13:01:42.005Z,Laghman,Qarghayi,,HER-LGM-HF364-Q2-2025-1152-01,uuid:96308ce9-f363-45a7-a21e-5502b6d3c67c,HER_Re_QQC_R3,1,CHC,,FR4015
2025-11-09T13:01:54.921Z,Laghman,Qarghayi,,HER-LGM-HF364-Q2-2025-1152-01,uuid:f5337fad-b4a2-438b-9eae-3bce343284d1,HER_Re_QQC_R3,5,CHC,,FR4015
2025-11-09T13:03:52.520Z,Laghman,Qarghayi,,HER-LGM-HF364-Q2-2025-1152-01,uuid:de1b7fb5-5bd8-4114-ac6a-d1001aaee994,HER_Re_QQC_R3,3,CHC,,FR4015
2025-11-09T13:04:26.843Z,Laghman,Qarghayi,,HER-LGM-HF364-Q2-2025-1152-01,uuid:34bbb636-ec0d-4f04-83b5-5dbfb7dc1d71,HER_Re_QQC_R3,11,CHC,,FR4015
2025-11-09T13:10:06.835Z,Khost,Khost (Matoon),,HER-KHO-HF1959-Q2-2025-1124-01,uuid:aa3798ea-0983-4854-9974-ddea7468276a,HER_Re_QQC_R3,10,BHC,,FR4136
2025-11-09T13:13:42.981Z,Khost,Khost (Matoon),,HER-KHO-HF1959-Q2-2025-1124-01,uuid:0bf1f6dc-f226-4184-afc0-0a8cef7a0703,HER_Re_QQC_R3,2,BHC,,FR4136
2025-11-09T13:15:16.031Z,Khost,Khost (Matoon),,HER-KHO-HF1959-Q2-2025-1124-01,uuid:2d9c7536-6b6d-4f9b-85ed-1455f2c9ef95,HER_Re_QQC_R3,4,BHC,,FR4136
2025-11-09T13:17:00.331Z,Khost,Khost (Matoon),,HER-KHO-HF1959-Q2-2025-1124-01,uuid:d9ac5db9-bf78-4cee-a4cc-b87cde14032e,HER_Re_QQC_R3,8,BHC,,FR4136
2025-11-09T13:18:27.892Z,Khost,Khost (Matoon),,HER-KHO-HF1959-Q2-2025-1124-01,uuid:1c73dc57-2719-4bd3-b26f-90f0558d562d,HER_Re_QQC_R3,9,BHC,,FR4136
2025-11-09T13:40:58.432Z,Kunar,SarKaani,,HER-KNR-HF400-Q2-2025-1132-01,uuid:9ec92ddc-c488-4f91-b250-53208230ed5d,HER_Re_QQC_R3,11,CHC,,FR4582
2025-11-09T13:46:55.633Z,Kunar,SarKaani,,HER-KNR-HF400-Q2-2025-1132-01,uuid:bbe0cbcc-a47b-4a8b-90ae-4ce2c74a4a9e,HER_Re_QQC_R3,5,CHC,,FR4582
2025-11-09T13:53:22.172Z,Kapisa,Nijrab,,HER-KPS-HF1965-Q2-2025-1114-01,uuid:ddcf795d-267a-4b21-bf9b-278aafe971bc,HER_Re_QQC_R3,3,BHC,,FR4005
2025-11-09T13:54:58.878Z,Kapisa,Nijrab,,HER-KPS-HF1965-Q2-2025-1114-01,uuid:9c98abb9-d3f4-4290-b5ea-711a83da625f,HER_Re_QQC_R3,5,BHC,,FR4005
2025-11-09T23:38:58.513Z,Kunar,SarKaani,,HER-KNR-HF400-Q2-2025-1132-01,uuid:e00228eb-c3d9-4582-b53b-6627dacd9481,HER_Re_QQC_R3,2,CHC,,FR4010
2025-11-09T23:39:47.172Z,Kunar,SarKaani,,HER-KNR-HF400-Q2-2025-1132-01,uuid:cd6e0cb4-9848-464b-a35f-3d7ff1014941,HER_Re_QQC_R3,4,CHC,,FR4010
2025-11-10T01:39:53.368Z,Laghman,Qarghayi,,HER-LGM-HF364-Q2-2025-1152-01,uuid:9fd9d19d-37f4-4c3a-b278-646c92e897c0,HER_Re_QQC_R3,9,CHC,,FR4696
2025-11-10T01:43:29.575Z,Laghman,Qarghayi,,HER-LGM-HF364-Q2-2025-1152-01,uuid:7c2fe23f-daf3-406b-9e1b-cbf235eea2bd,HER_Re_QQC_R3,8,CHC,,FR4696
2025-11-10T03:56:33.896Z,Parwan,Chaharekar,,HER-PAR-HF62-Q2-2025-1212-01,uuid:16c58d37-f0d8-45e4-8d3a-c6b7dabecbe1,HER_Re_QQC_R3,8,CHC,,FR3277
2025-11-10T05:33:38.398Z,Laghman,Qarghayi,,HER-LGM-HF364-Q2-2025-1152-01,uuid:a0935d02-b950-4cbe-bc11-4e9718934dcf,HER_Re_QQC_R3,4,CHC,,FR4696
2025-11-10T05:37:29.129Z,Laghman,Qarghayi,,HER-LGM-HF364-Q2-2025-1152-01,uuid:1393c462-f8af-423f-8a78-f679c0625279,HER_Re_QQC_R3,2,CHC,,FR4696
2025-11-08T12:52:06.006Z,Kapisa,His-e-Awal-e-Kohestan,,HER-KPS-HF1960-Q2-2025-1112-01,uuid:26ad30e8-e487-429b-8725-dd84bcb2fb20,HER_Re_QQC_R3,3,BHC,,FR4005
2025-11-08T13:35:15.228Z,Kapisa,His-e-Awal-e-Kohestan,,HER-KPS-HF1960-Q2-2025-1112-01,uuid:5c83ace9-bf7a-4529-ad72-825179a9645f,HER_Re_QQC_R3,6,BHC,,FR4005
2025-11-08T13:59:36.881Z,Parwan,Chaharekar,,HER-PAR-HF62-Q2-2025-1212-01,uuid:db8c9ca5-2b26-45f1-80c8-197fcf7254e4,HER_Re_QQC_R3,1,CHC,,FR2044
2025-11-10T09:25:40.872Z,Kunduz,Khanabad,,HER-KDZ-HF2001-Q2-2025-1146-01,uuid:835e2f00-eb00-46a7-b5c1-6aecfdb03969,HER_Re_QQC_R3,7,BHC,,FR3611
2025-11-10T09:28:46.119Z,Kunduz,Khanabad,,HER-KDZ-HF2001-Q2-2025-1146-01,uuid:4f4b7999-c61c-4ad7-a124-afa00a667056,HER_Re_QQC_R3,3,BHC,,FR3611
2025-11-10T09:29:19.593Z,Kunduz,Khanabad,,HER-KDZ-HF2001-Q2-2025-1146-01,uuid:4f8646cc-5b06-4626-be10-de087c2f8268,HER_Re_QQC_R3,11,BHC,,FR3611
2025-11-10T09:30:07.013Z,Kunduz,Khanabad,,HER-KDZ-HF2001-Q2-2025-1146-01,uuid:d086b019-3100-466f-bc1c-482560ae00fb,HER_Re_QQC_R3,1,BHC,,FR3611
2025-11-09T14:16:23.282Z,Nooristan,Paroon,,HER-NUR-HF2079-Q2-2025-1173-01,uuid:9d358e59-1c68-4f7d-a174-1d4765eda093,HER_Re_QQC_R3,10,CHC,,FR2968
2025-11-09T14:16:38.334Z,Nooristan,Paroon,,HER-NUR-HF2079-Q2-2025-1173-01,uuid:e742b2b1-4445-4ee4-b925-81adea9acc46,HER_Re_QQC_R3,4,CHC,,FR2968
2025-11-09T14:17:29.844Z,Nooristan,Paroon,,HER-NUR-HF2079-Q2-2025-1173-01,uuid:758a4472-dcac-429f-90d8-b976cef7661a,HER_Re_QQC_R3,8,CHC,,FR2968
2025-11-09T14:18:34.012Z,Nooristan,Paroon,,HER-NUR-HF2079-Q2-2025-1173-01,uuid:1b957fda-4482-43f3-841a-18ebed1fb1d9,HER_Re_QQC_R3,9,CHC,,FR2968
2025-11-09T16:55:50.543Z,Laghman,Qarghayi,,HER-LGM-HF364-Q2-2025-1152-01,uuid:2348b074-0810-485b-ba32-7c597894fe37,HER_Re_QQC_R3,10,CHC,,FR4696
2025-11-09T07:03:45.922Z,Nooristan,Paroon,,HER-NUR-HF2079-Q2-2025-1173-01,uuid:06d8049b-ed5b-485f-85f6-44ac56524ff7,HER_Re_QQC_R3,1,CHC,,FR4026
2025-11-09T12:14:23.842Z,Parwan,Chaharekar,,HER-PAR-HF62-Q2-2025-1212-01,uuid:e29479cc-8b10-45a9-a1bd-9fc7b7fadb1a,HER_Re_QQC_R3,11,CHC,,FR2044
2025-11-09T16:45:04.961Z,Kunar,SarKaani,,HER-KNR-HF400-Q2-2025-1132-01,uuid:9e65f489-1eff-49c5-96aa-0b70c19763a3,HER_Re_QQC_R3,7,CHC,,FR4582
2025-11-10T11:19:45.643Z,Kapisa,Nijrab,,HER-KPS-HF1965-Q2-2025-1114-01,uuid:6bb86b2c-19a8-414a-b7a7-d65474d764c2,HER_Re_QQC_R3,6,BHC,,FR4005
2025-11-10T11:20:39.088Z,Kapisa,Nijrab,,HER-KPS-HF1965-Q2-2025-1114-01,uuid:22e57c95-0de4-4a17-a035-4ea8374d45b5,HER_Re_QQC_R3,7,BHC,,FR4005
2025-11-10T11:25:36.350Z,Kapisa,Nijrab,,HER-KPS-HF1965-Q2-2025-1114-01,uuid:3aab7884-72dc-46e7-b83f-ef59362033a0,HER_Re_QQC_R3,2,BHC,,FR1695
2025-11-09T14:00:45.942Z,Kunar,SarKaani,,HER-KNR-HF400-Q2-2025-1132-01,uuid:f7fd7c46-737c-4e62-8245-ca0a1103e368,HER_Re_QQC_R3,6,CHC,,FR4582
2025-11-10T12:20:00.086Z,Parwan,Bagram,,HER-PAR-HF2797-Q2-2025-1214-01,uuid:5f71ab3f-8a9e-45f9-af22-7dfa7693f16e,HER_Re_QQC_R3,1,BHC,,FR2044
2025-11-10T12:36:45.782Z,Badakhshan,Jurm,,HER-BDS-HF1817-Q2-2025-1011-01,uuid:81b0f835-272e-42bb-b4d4-3228dcdbf917,HER_Re_QQC_R3,1,BHC,,FR4396
2025-11-10T12:39:54.835Z,Badakhshan,Jurm,,HER-BDS-HF1817-Q2-2025-1011-01,uuid:5e90d66b-65ec-4872-bf54-bd7dfb3dc11e,HER_Re_QQC_R3,2,BHC,,FR4396
2025-11-10T12:42:57.373Z,Badakhshan,Jurm,,HER-BDS-HF1817-Q2-2025-1011-01,uuid:76a6ce51-f1f2-49d6-a5c2-1bbc186c8374,HER_Re_QQC_R3,3,BHC,,FR4396
2025-11-10T12:46:00.301Z,Badakhshan,Jurm,,HER-BDS-HF1817-Q2-2025-1011-01,uuid:890dbcc2-8657-496f-ae14-3baad07a011c,HER_Re_QQC_R3,5,BHC,,FR4396
2025-11-09T07:05:47.054Z,Nooristan,Paroon,,HER-NUR-HF2079-Q2-2025-1173-01,uuid:023dfa2d-9702-4668-8754-06f8e54c3a8b,HER_Re_QQC_R3,6,CHC,,FR4026
2025-11-10T13:02:37.266Z,Kunar,SarKaani,,HER-KNR-HF400-Q2-2025-1132-01,uuid:2fe5e48d-ca85-4fbf-8131-4339757049eb,HER_Re_QQC_R3,1,CHC,,FR4582
